Date,Price,Open,High,Low,Vol.,Change %
19/03/2019,1289.45,1286.87,1295.76,1284.75,-,0
18/03/2019,1286.87,1281.64,1290.37,1279.23,-,0
15/03/2019,1281.64,1266.24,1287.35,1266.24,-,0.01
14/03/2019,1266.24,1263.67,1270.13,1262.8,-,0
13/03/2019,1263.67,1255.07,1271.28,1255.07,-,0.01
12/03/2019,1255.07,1248.58,1259.78,1248.05,-,0.01
11/03/2019,1248.58,1222.09,1249.44,1222.09,-,0.02
08/03/2019,1222.09,1222.4,1222.95,1205.65,-,0
07/03/2019,1222.4,1233.76,1233.76,1218.17,-,-0.01
06/03/2019,1233.76,1240.55,1240.92,1232.37,-,-0.01
05/03/2019,1240.55,1244.15,1244.2,1236.79,-,0
04/03/2019,1244.15,1249.02,1257.3,1230.78,-,0
01/03/2019,1249.02,1240.23,1252.23,1239.22,-,0.01
28/02/2019,1240.23,1244.17,1245.17,1237.52,-,0
27/02/2019,1244.17,1245.45,1245.57,1231.64,-,0
26/02/2019,1245.45,1242.99,1249.04,1238.91,-,0
25/02/2019,1242.99,1236.87,1251.51,1236.87,-,0
22/02/2019,1236.87,1221.16,1237.53,1221.16,-,0.01
21/02/2019,1221.16,1220.55,1226.06,1213.84,-,0
20/02/2019,1220.55,1220.06,1225.81,1214.56,-,0
19/02/2019,1220.06,1219.86,1224.02,1215.64,-,0
15/02/2019,1219.86,1210.29,1221.03,1210.29,-,0.01
14/02/2019,1210.29,1208.81,1214.52,1203.12,-,0
13/02/2019,1208.81,1207.13,1216.96,1207.13,-,0
12/02/2019,1207.13,1190.9,1208.31,1190.9,-,0.01
11/02/2019,1190.9,1190.85,1198.91,1188.38,-,0
08/02/2019,1190.85,1185.04,1191.18,1175.04,-,0
07/02/2019,1185.04,1202.35,1202.35,1177.6,-,-0.01
06/02/2019,1202.35,1199.45,1205.67,1195.25,-,0
05/02/2019,1199.45,1188.93,1201.59,1188.93,-,0.01
04/02/2019,1188.93,1170.2,1189.08,1170.2,-,0.02
01/02/2019,1170.2,1163.16,1176.23,1162.92,-,0.01
31/01/2019,1163.16,1164.51,1169.35,1155.04,-,0
30/01/2019,1164.51,1130.3,1167.61,1130.3,-,0.03
29/01/2019,1130.3,1141.83,1144.01,1127.88,-,-0.01
28/01/2019,1141.83,1158.04,1158.04,1132.35,-,-0.01
25/01/2019,1158.04,1141.51,1160.46,1141.51,-,0.01
24/01/2019,1141.51,1131,1144.84,1131,-,0.01
23/01/2019,1131,1126.34,1140.53,1118.85,-,0
22/01/2019,1126.34,1146.57,1146.57,1118.84,-,-0.02
18/01/2019,1146.57,1129.7,1149.16,1129.7,-,0.01
17/01/2019,1129.7,1122.2,1136.09,1116.03,-,0.01
16/01/2019,1122.2,1121.68,1129.23,1120.59,-,0
15/01/2019,1121.68,1105.31,1123.61,1105.31,-,0.01
14/01/2019,1105.31,1115.53,1115.53,1101.13,-,-0.01
11/01/2019,1115.53,1117.07,1117.07,1108.52,-,0
10/01/2019,1117.07,1111.92,1117.72,1098.72,-,0
09/01/2019,1111.92,1098.35,1118.02,1098.35,-,0.01
08/01/2019,1098.35,1088.59,1103.21,1085.24,-,0.01
07/01/2019,1088.59,1079.29,1096.5,1077.13,-,0.01
04/01/2019,1079.29,1033.85,1083.84,1033.85,-,0.04
03/01/2019,1033.85,1089.04,1089.04,1032.42,-,-0.05
02/01/2019,1089.04,1088.31,1095.27,1066.84,-,0
